Equipe;Nom;Poste;Date de naissance;Taille (en cm);Poids (en kg)
Agen;Anton PEIKRISHVILI;Avant;18/09/1987;183;122
Agen;Dave RYAN;Avant;21/04/1986;183;116
Agen;Giorgi TETRASHVILI;Avant;31/08/1993;177;112
Agen;Kamaliele TUFELE;Avant;11/10/1995;182;123
Agen;Malino VANAÏ;Avant;04/05/1993;183;119
Agen;Morgan PHÉLIPPONNEAU;Avant;05/09/1989;185;106
Agen;Walter DESMAISON;Avant;18/10/1991;188;119
Agen;Clément MARTINEZ;Avant;14/03/1996;181;105
Agen;Marc BARTHOMEUF;Avant;19/07/1991;174;100
Agen;Paula NGAUAMO;Avant;19/02/1990;182;117
Agen;Adrian MOTOC;2ème ligne;11/07/1996;197;108
Agen;Andrés ZAFRA;2ème ligne;26/03/1996;197;116
Agen;Mickaël DE MARCO;2ème ligne;22/04/1989;195;134
Agen;Pierce PHILLIPS;2ème ligne;06/10/1992;203;119
Agen;Tom MURDAY;2ème ligne;27/04/1989;200;114
Agen;Dylan HAYES;3ème ligne;11/02/1994;194;114
Agen;Laurence PEARCE;3ème ligne;03/12/1990;192;120
Agen;Romain BRIATTE;3ème ligne;18/02/1993;194;105
Agen;Vincent FARRÉ;3ème ligne;06/06/1990;193;103
Agen;Hugo VERDU;Demi;24/10/1996;176;82
Agen;Paul ABADIE;Demi;28/07/1994;176;88
Agen;Xavier CHAUVEAU;Demi;14/10/1992;180;84
Agen;Raphaël LAGARDE;Demi;30/10/1988;182;92
Agen;Alban CONDUCHÉ;Trois-Quarts;29/10/1996;190;102
Agen;Johann SADIE;Trois-Quarts;23/01/1989;188;96
Agen;Jordan PULETUA;Trois-Quarts;28/02/1990;193;105
Agen;Sam VAKA;Trois-Quarts;26/10/1992;187;98
Agen;Benito MASILEVU;Trois-Quarts;07/10/1989;178;83
Agen;Julien JANÉ;Trois-Quarts;12/09/1989;186;100
Agen;Timilai ROKODURU;Trois-Quarts;21/01/1993;191;113
Agen;Valentin SAURS;Trois-Quarts;12/02/1995;182;82
Agen;JJ TAULAGI;Arrière;18/06/1993;180;90
Agen;Loris TOLOT;Arrière;03/03/1993;185;90
Agen;Mathieu LAMOULIE;Arrière;07/08/1990;184;93
Bayonne;Aretz IGUINIZ;Avant;03/06/1983;188;114
Bayonne;Census JOHNSTON;Avant;06/05/1981;189;130
Bayonne;Jean-Baptiste DE CLERCQ;Avant;23/02/1994;183;115
Bayonne;Jon ZABALA;Avant;26/11/1996;192;128
Bayonne;Luc MOUSSET;Avant;03/04/1994;180;115
Bayonne;Swan CORMENIER;Avant;10/01/1996;178;117
Bayonne;Toma'Akino TAUFA;Avant;09/03/1995;180;125
Bayonne;Ugo BONIFACE;Avant;21/07/1998;190;125
Bayonne;Viliamu AFATIA;Avant;24/05/1990;189;124
Bayonne;Maxime DELONCA;Avant;29/04/1988;180;107
Bayonne;Maxime LAMOTHE;Avant;03/10/1998;184;109
Bayonne;Torsten VAN JAARSVELD;Avant;30/06/1987;175;106
Bayonne;Adam JAULHAC;2ème ligne;31/01/1988;198;125
Bayonne;Bastien BERGOUNIOUX;2ème ligne;18/06/1996;202;100
Bayonne;Edwin MAKA;2ème ligne;25/01/1993;196;140
Bayonne;Evrard Dion OULAI;2ème ligne;22/06/1993;198;125
Bayonne;Guillaume DUCAT;2ème ligne;20/05/1996;205;115
Bayonne;Mariano GALARZA;2ème ligne;11/12/1986;202;114
Bayonne;Pieter Jan VAN LILL;2ème ligne;04/12/1983;193;120
Bayonne;André GORIN;3ème ligne;30/11/1987;192;111
Bayonne;Antoine BATTUT;3ème ligne;01/01/1984;192;104
Bayonne;Armandt KOSTER;3ème ligne;20/01/1990;192;114
Bayonne;Arnaud DUPUTS;3ème ligne;26/07/1995;188;98
Bayonne;Baptiste HÉGUY;3ème ligne;11/05/1998;196;97
Bayonne;Benjamin COLLET;3ème ligne;11/04/1989;184;103
Bayonne;Filimo TAOFIFENUA;3ème ligne;15/10/1993;188;100
Bayonne;Jean MONRIBOT;3ème ligne;11/10/1987;183;99
Bayonne;Mat LUAMANU;3ème ligne;04/03/1988;193;127
Bayonne;Tom DARLET;3ème ligne;06/08/1996;188;104
Bayonne;Emmanuel SAUBUSSE;Demi;23/11/1989;181;84
Bayonne;Guillaume ROUET;Demi;13/08/1988;170;75
Bayonne;Michael RURU;Demi;03/12/1990;182;93
Bayonne;Brandon FAJARDO;Demi;25/06/1994;181;77
Bayonne;Manuel ORDAS;Demi;21/02/1998;186;83
Bayonne;Alofa ALOFA;Trois-Quarts;12/03/1991;185;95
Bayonne;Callum WILSON;Trois-Quarts;28/10/1990;182;95
Bayonne;Maile MAMAO;Trois-Quarts;07/01/1996;187;117
Bayonne;Malietoa HINGANO;Trois-Quarts;27/01/1992;180;95
Bayonne;Peyo MUSCARDITZ;Trois-Quarts;02/01/1996;174;88
Bayonne;Romain BARTHÉLÉMY;Trois-Quarts;25/01/1990;186;97
Bayonne;Arthur DUHAU;Trois-Quarts;09/08/1997;181;86
Bayonne;Djibril CAMARA;Trois-Quarts;22/06/1989;183;90
Bayonne;Sean ROBINSON;Trois-Quarts;02/11/1993;181;90
Bayonne;Aymeric LUC;Arrière;14/10/1997;180;76
Bayonne;Johannes Petrus GRAAFF;Arrière;10/09/1989;179;77
Bayonne;Julien TISSERON;Arrière;12/08/1995;182;82
Bordeaux;Jefferson POIROT;Avant;01/11/1992;181;117
Bordeaux;Lasha TABIDZE;Avant;04/07/1997;185;117
Bordeaux;Laurent DELBOULBÈS;Avant;17/11/1986;181;106
Bordeaux;Lekso KAULASHVILI;Avant;27/08/1992;187;120
Bordeaux;Peni RAVAI;Avant;16/06/1990;185;119
Bordeaux;Thierry PAÏVA;Avant;19/11/1995;184;125
Bordeaux;Vadim COBILAS;Avant;30/07/1983;180;118
Bordeaux;Adrien PÉLISSIÉ;Avant;07/08/1990;181;110
Bordeaux;Clément MAYNADIER;Avant;11/10/1988;187;100
Bordeaux;Alexandre FLANQUART;2ème ligne;09/10/1989;204;120
Bordeaux;Cyril CAZEAUX;2ème ligne;10/02/1995;198;113
Bordeaux;Jandré MARAIS;2ème ligne;14/06/1989;198;118
Bordeaux;Kane DOUGLAS;2ème ligne;01/06/1989;202;123
Bordeaux;Masalosalo TUTAIA;2ème ligne;05/06/1984;204;125
Bordeaux;Afa AMOSA;3ème ligne;11/10/1990;187;112
Bordeaux;Alexandre ROUMAT;3ème ligne;27/06/1997;198;104
Bordeaux;Béka GORGADZE;3ème ligne;08/02/1996;189;105
Bordeaux;Cameron WOKI;3ème ligne;07/11/1998;196;103
Bordeaux;Mahamadou DIABY;3ème ligne;15/08/1990;188;105
Bordeaux;Marco TAULEIGNE;3ème ligne;30/08/1993;191;115
Bordeaux;Scott HIGGINBOTHAM;3ème ligne;05/09/1986;195;110
Bordeaux;Maxime LUCU;Demi;12/01/1993;177;79
Bordeaux;Yann LESGOURGUES;Demi;17/01/1991;174;71
Bordeaux;Ben BOTICA;Demi;07/10/1989;178;93
Bordeaux;Lucas MÉRET;Demi;30/01/1995;178;85
Bordeaux;Matthieu JALIBERT;Demi;06/11/1998;180;79
Bordeaux;Jean-Baptiste DUBIÉ;Trois-Quarts;16/07/1989;181;85
Bordeaux;Rémi LAMERAT;Trois-Quarts;14/01/1990;184;105
Bordeaux;Semi RADRADRA;Trois-Quarts;13/06/1992;188;102
Bordeaux;Seta TAMANIVALU;Trois-Quarts;23/07/1992;189;110
Bordeaux;Ulupano SEUTENI;Trois-Quarts;09/12/1993;185;95
Bordeaux;Blair CONNOR;Trois-Quarts;29/09/1988;183;82
Bordeaux;Nicolas PLAZY;Trois-Quarts;17/05/1994;188;85
Bordeaux;Santiago CORDERO;Trois-Quarts;06/12/1993;177;83
Bordeaux;Geoffrey CROS;Arrière;08/03/1997;185;85
Bordeaux;Nans DUCUING;Arrière;06/11/1991;181;90
Bordeaux;Romain BUROS;Arrière;31/07/1997;187;91
Brive;Cody THOMAS;Avant;01/03/1996;186;124
Brive;Hayden THOMPSON-STRINGER;Avant;25/12/1994;190;119
Brive;James JOHNSTON;Avant;06/03/1986;191;129
Brive;Karlen ASIESHVILI;Avant;21/04/1987;180;118
Brive;Mesake DOGE;Avant;01/04/1993;178;122
Brive;Simon-Pierre CHAUVAC;Avant;23/03/1998;189;116
Brive;Soso BEKOSHVILI;Avant;03/11/1993;180;116
Brive;François DA ROS;Avant;29/09/1983;179;104
Brive;Peniami Nasali NARISIA;Avant;10/06/1997;187;104
Brive;Thomas ACQUIER;Avant;21/11/1989;181;112
Brive;Jan UYS;2ème ligne;03/01/1994;195;120
Brive;Joe SNYMAN;2ème ligne;09/07/1986;200;112
Brive;Mitch LEES;2ème ligne;12/10/1988;196;120
Brive;Peet MARAIS;2ème ligne;31/10/1990;199;120
Brive;Richard FOURCADE;2ème ligne;04/04/1993;200;110
Brive;Victor LEBAS;2ème ligne;09/06/1993;193;108
Brive;Esteban ABADIE;3ème ligne;01/12/1997;188;95
Brive;Irakli TSKHADADZE;3ème ligne;01/08/1996;191;104
Brive;Kitione KAMIKAMICA;3ème ligne;27/04/1996;188;105
Brive;Matthieu VOISIN;3ème ligne;16/05/1996;193;104
Brive;Otar GIORGADZE;3ème ligne;02/03/1996;193;108
Brive;Saïd HIRÈCHE;3ème ligne;27/05/1985;183;102
Brive;So'otala FA'ASO'O;3ème ligne;02/10/1994;194;127
Brive;Steevy CERQUEIRA;3ème ligne;09/08/1993;206;114
Brive;David DELARUE;Demi;27/10/1996;190;85
Brive;Julien BLANC;Demi;04/10/1992;175;81
Brive;Quentin DELORD;Demi;10/02/1999;171;74
Brive;Vasil LOBZHANIDZE;Demi;14/10/1996;175;75
Brive;Enzo HERVÉ;Demi;13/10/1998;177;89
Brive;Thomas LARANJEIRA;Demi;05/05/1992;186;90
Brive;Alban RAMETTE;Trois-Quarts;07/10/1998;188;91
Brive;Alex DUNBAR;Trois-Quarts;23/04/1990;191;103
Brive;Arnaud MIGNARDI;Trois-Quarts;01/11/1986;180;90
Brive;Guillaume GALLETIER;Trois-Quarts;07/03/1997;178;98
Brive;Nico LEE;Trois-Quarts;13/03/1994;180;89
Brive;Seva GALALA;Trois-Quarts;29/01/1993;188;105
Brive;Stuart OLDING;Trois-Quarts;11/03/1993;180;87
Brive;Axel MULLER;Trois-Quarts;25/11/1993;186;94
Brive;Franck ROMANET;Trois-Quarts;02/05/1986;178;89
Brive;Guillaume NAMY;Trois-Quarts;03/04/1989;182;83
Brive;Rory SCHOLES;Trois-Quarts;23/04/1993;186;95
Brive;Setareki BITUNIYATA;Trois-Quarts;12/08/1995;190;89
Brive;Joris JURAND;Arrière;11/11/1995;188;106
Brive;Rico BULIRUARUA;Arrière;23/01/1997;186;106
Castres;Antoine TICHIT;Avant;13/06/1989;182;112
Castres;Daniel KOTZE;Avant;28/03/1987;187;120
Castres;Karena WIHONGI;Avant;29/09/1979;186;130
Castres;Marc CLERC;Avant;09/06/1987;181;120
Castres;Matt TIERNEY;Avant;04/07/1996;191;132
Castres;Paea FA'ANUNU;Avant;04/11/1988;191;125
Castres;Tapu FALATEA;Avant;12/12/1988;187;137
Castres;Tudor STROË;Avant;06/09/1993;184;112
Castres;Wayan DE BENEDITTIS;Avant;10/03/1999;185;107
Castres;Wilfrid HOUNKPATIN;Avant;29/07/1991;192;132
Castres;Jody JENNEKER;Avant;10/04/1984;185;106
Castres;Kévin FIRMIN;Avant;20/04/1992;183;105
Castres;Marc-Antoine RALLIER;Avant;02/12/1988;182;107
Castres;Paul SAUZARET;Avant;04/03/1997;184;107
Castres;Christophe SAMSON;2ème ligne;01/03/1984;198;107
Castres;Hans N'KINSI;2ème ligne;21/09/1992;195;115
Castres;Loïc JACQUET;2ème ligne;31/03/1985;198;117
Castres;Rodrigo CAPO ORTEGA;2ème ligne;08/12/1980;195;110
Castres;Victor MOREAUX;2ème ligne;19/09/1993;200;123
Castres;Alex TULOU;3ème ligne;21/03/1987;192;114
Castres;Anthony JELONCH;3ème ligne;28/07/1996;193;105
Castres;Baptiste DELAPORTE;3ème ligne;27/03/1997;190;112
Castres;Camille GÉRONDEAU;3ème ligne;12/03/1988;194;113
Castres;Dorian CLERC;3ème ligne;07/07/1998;194;110
Castres;Kévin GIMENO;3ème ligne;11/09/1991;195;106
Castres;Ma'ama VAIPULU;3ème ligne;21/07/1989;190;112
Castres;Mathieu BABILLOT;3ème ligne;09/09/1993;190;111
Castres;Ludovic RADOSAVLJEVIC;Demi;17/08/1989;180;95
Castres;Rory KOCKOTT;Demi;25/06/1986;180;92
Castres;Benjamin URDAPILLETA;Demi;11/03/1986;178;86
Castres;Thomas FORTUNEL;Demi;07/06/1995;177;76
Castres;Florian VIALELLE;Trois-Quarts;05/10/1993;185;88
Castres;Robert EBERSOHN;Trois-Quarts;23/02/1989;180;89
Castres;Thomas COMBEZOU;Trois-Quarts;26/01/1987;184;94
Castres;Yann DAVID;Trois-Quarts;15/04/1988;185;102
Castres;Armand BATLLE;Trois-Quarts;12/04/1987;188;92
Castres;Benjamin LAPEYRE;Trois-Quarts;24/09/1986;181;87
Castres;Filipo NAKOSI;Trois-Quarts;08/04/1992;182;98
Castres;Julien CAMINATI;Trois-Quarts;28/10/1985;178;88
Castres;Martin LAVEAU;Trois-Quarts;10/09/1996;182;78
Castres;Taylor PARIS;Trois-Quarts;06/10/1992;185;93
Castres;Geoffrey PALIS;Arrière;08/07/1991;189;93
Castres;Julien DUMORA;Arrière;24/03/1988;184;96
Clermont;Beqa KAKABADZE;Avant;07/09/1995;181;110
Clermont;Davit ZIRAKASHVILI;Avant;10/10/1983;179;120
Clermont;Duane AHOLELEI;Avant;16/02/1989;189;130
Clermont;Etienne FALGOUX;Avant;19/01/1993;182;112
Clermont;Giorgi BERIA;Avant;11/11/1999;175;107
Clermont;Loni UHILA;Avant;07/04/1989;182;125
Clermont;Rabah SLIMANI;Avant;18/10/1989;178;113
Clermont;Sipili FALATEA;Avant;06/06/1997;184;116
Clermont;John ULUGIA;Avant;17/01/1986;180;115
Clermont;Mike TADJER;Avant;10/03/1989;183;110
Clermont;Yohan BEHEREGARAY;Avant;29/05/1996;180;102
Clermont;Clément LANEN;2ème ligne;01/04/1998;196;103
Clermont;George MERRICK;2ème ligne;04/10/1992;201;126
Clermont;Jaco VAN TONDER;2ème ligne;03/03/1998;197;118
Clermont;Paul JEDRASIAK;2ème ligne;06/02/1993;200;118
Clermont;Sébastien VAHAAMAHINA;2ème ligne;21/10/1991;203;120
Clermont;Sitaleki TIMANI;2ème ligne;19/09/1986;203;120
Clermont;Alexandre FISCHER;3ème ligne;19/01/1998;188;103
Clermont;Alexandre LAPANDRY;3ème ligne;13/04/1989;194;101
Clermont;Arthur ITURRIA;3ème ligne;13/05/1994;198;112
Clermont;Faifili LEVAVE;3ème ligne;15/01/1986;193;111
Clermont;Fritz LEE;3ème ligne;29/08/1988;188;107
Clermont;Judicaël CANCORIET;3ème ligne;25/04/1996;194;112
Clermont;Peceli YATO;3ème ligne;17/01/1993;196;120
Clermont;Charlie CASSANG;Demi;08/02/1995;173;84
Clermont;Greig LAIDLAW;Demi;12/10/1985;176;78
Clermont;Morgan PARRA;Demi;15/11/1988;180;81
Clermont;Rudy PAIGE;Demi;02/08/1989;169;77
Clermont;Camille LOPEZ;Demi;03/04/1989;176;87
Clermont;Jake MCINTYRE;Demi;28/04/1994;177;88
Clermont;Apisai NAQALEVU;Trois-Quarts;21/08/1989;188;104
Clermont;George MOALA;Trois-Quarts;05/11/1990;187;104
Clermont;JJ ENGELBRECHT;Trois-Quarts;22/02/1989;190;94
Clermont;Wesley FOFANA;Trois-Quarts;20/01/1988;182;93
Clermont;Alivereti RAKA;Trois-Quarts;09/12/1994;189;97
Clermont;Damian PENAUD;Trois-Quarts;25/09/1996;192;94
Clermont;Peter BETHAM;Trois-Quarts;06/01/1989;191;98
Clermont;Rémy GROSSO;Trois-Quarts;04/12/1988;191;104
Clermont;Samuel EZEALA;Trois-Quarts;11/12/1999;187;94
Clermont;Tim NANAI-WILLIAMS;Trois-Quarts;12/06/1989;182;90
Clermont;Isaia TOEAVA;Arrière;15/01/1986;181;100
Clermont;Nick ABENDANON;Arrière;27/08/1986;178;83
Clermont;Setariki TUICUVU;Arrière;07/09/1995;179;94
La Rochelle;Arthur JOLY;Avant;20/02/1988;189;123
La Rochelle;Dany PRISO;Avant;02/01/1994;182;110
La Rochelle;Mike CORBEL;Avant;09/04/1992;179;118
La Rochelle;Ramiro HERRERA;Avant;14/02/1989;194;123
La Rochelle;Reda WARDI;Avant;02/08/1995;185;110
La Rochelle;Sila PUAFISI;Avant;15/04/1988;183;128
La Rochelle;Uini ATONIO;Avant;26/03/1990;196;152
La Rochelle;Vincent PELO;Avant;22/04/1988;187;130
La Rochelle;Facundo BOSCH;Avant;08/08/1991;180;100
La Rochelle;Jean-Charles ORIOLI;Avant;09/08/1989;179;110
La Rochelle;Pierre BOURGARIT;Avant;12/09/1997;184;105
La Rochelle;Jone QOVU;2ème ligne;26/07/1985;197;134
La Rochelle;Mathieu TANGUY;2ème ligne;05/06/1996;195;110
La Rochelle;Romain SAZY;2ème ligne;14/10/1986;199;105
La Rochelle;Thomas JOLMÈS;2ème ligne;08/10/1995;204;116
La Rochelle;Thomas LAVAULT;2ème ligne;03/05/1999;199;105
La Rochelle;Kévin GOURDON;3ème ligne;23/01/1990;190;103
La Rochelle;Lopeti TIMANI;3ème ligne;28/09/1990;193;124
La Rochelle;Rémi BOURDEAU;3ème ligne;27/02/1992;195;108
La Rochelle;Victor VITO;3ème ligne;27/03/1987;192;112
La Rochelle;Wiaan LIEBENBERG;3ème ligne;31/08/1992;189;105
La Rochelle;Zeno KIEFT;3ème ligne;02/11/1991;191;102
La Rochelle;Alexi BALÈS;Demi;30/05/1990;174;80
La Rochelle;Tawera KERR-BARLOW;Demi;15/08/1990;187;91
La Rochelle;Brock JAMES;Demi;22/10/1981;179;89
La Rochelle;Ihaia WEST;Demi;16/01/1992;175;85
La Rochelle;Maxime LAFAGE;Demi;01/09/1994;183;84
La Rochelle;Brieuc PLESSIS-COUILLAUD;Trois-Quarts;19/03/1994;180;95
La Rochelle;Geoffrey DOUMAYROU;Trois-Quarts;16/09/1989;186;92
La Rochelle;Jérémy SINZELLE;Trois-Quarts;02/07/1990;184;88
La Rochelle;Jules FAVRE;Trois-Quarts;22/03/1999;181;88
La Rochelle;Levani BOTIA;Trois-Quarts;14/03/1989;182;103
La Rochelle;Pierre AGUILLON;Trois-Quarts;27/03/1987;180;93
La Rochelle;Arthur RETIÈRE;Trois-Quarts;01/08/1997;173;75
La Rochelle;Eliott ROUDIL;Trois-Quarts;30/10/1996;184;97
La Rochelle;Gabriel LACROIX;Trois-Quarts;19/10/1993;171;80
La Rochelle;Marc ANDREU;Trois-Quarts;27/12/1985;170;75
La Rochelle;Kini MURIMURIVALU;Arrière;15/05/1989;176;97
La Rochelle;Vincent RATTEZ;Arrière;24/03/1992;180;78
Lyon;Clément RIC;Avant;18/07/1988;182;117
Lyon;Francisco GOMEZ KODELA;Avant;03/07/1985;184;121
Lyon;Hamza KAABÈCHE;Avant;23/09/1996;188;118
Lyon;Raphaël CHAUME;Avant;29/04/1989;185;110
Lyon;Vivien DEVISME;Avant;23/03/1992;175;112
Lyon;Xavier CHIOCCI;Avant;13/02/1990;180;110
Lyon;Badri ALKHAZASHVILI;Avant;31/07/1995;185;110
Lyon;Jérémie MAUROUARD;Avant;23/09/1992;181;100
Lyon;Mickaël IVALDI;Avant;20/02/1990;181;108
Lyon;Etienne OOSTHUIZEN;2ème ligne;22/12/1992;198;120
