Equipe;Nom;Poste;Date de naissance;Taille (en cm);Poids (en kg)
Lyon;Félix LAMBEY;2ème ligne;15/03/1994;196;110
Lyon;Hendrik ROODT;2ème ligne;06/11/1987;198;126
Lyon;Kilian GÉRACI;2ème ligne;25/03/1999;200;106
Lyon;Virgile BRUNI;2ème ligne;06/02/1989;198;109
Lyon;Carl FEARNS;3ème ligne;28/05/1989;191;118
Lyon;Dylan CRETIN;3ème ligne;04/05/1997;195;101
Lyon;Julien PURICELLI;3ème ligne;01/08/1981;196;103
Lyon;Liam GILL;3ème ligne;08/06/1992;184;100
Lyon;Loann GOUJON;3ème ligne;23/04/1989;194;106
Lyon;Patrick SOBELA;3ème ligne;12/08/1992;188;105
Lyon;Tanginoa HALAIFONUA;3ème ligne;03/08/1996;196;114
Lyon;Baptiste COUILLOUD;Demi;22/07/1997;176;77
Lyon;Jonathan PÉLISSIÉ;Demi;06/06/1988;179;83
Lyon;Jean-Marc DOUSSAIN;Demi;12/02/1991;174;88
Lyon;Jonathan WISNIEWSKI;Demi;16/07/1985;180;85
Lyon;Patricio FERNANDEZ;Demi;11/10/1994;192;100
Lyon;Charlie NGATAI;Trois-Quarts;17/08/1990;188;103
Lyon;Mathieu BASTAREAUD;Trois-Quarts;17/09/1988;183;123
Lyon;Pierre-Louis BARASSI;Trois-Quarts;22/04/1998;188;93
Lyon;Rudi WULF;Trois-Quarts;02/02/1984;182;90
Lyon;Thibaut REGARD;Trois-Quarts;06/08/1993;180;95
Lyon;Alexis PALISSON;Trois-Quarts;09/09/1987;177;85
Lyon;Josua TUISOVA;Trois-Quarts;04/02/1994;180;91
Lyon;Noa NAKAITACI;Trois-Quarts;11/07/1990;190;94
Lyon;Toby ARNOLD;Trois-Quarts;11/09/1987;178;86
Lyon;Xavier MIGNOT;Trois-Quarts;27/01/1994;188;100
Lyon;Clément LAPORTE;Arrière;07/01/1998;181;87
Lyon;Jean-Marcellin BUTTIN;Arrière;16/12/1991;190;94
Montpellier;Antoine GUILLAMON;Avant;04/06/1991;192;136
Montpellier;Daniel BRENNAN;Avant;23/09/1998;192;132
Montpellier;Grégory FICHTEN;Avant;13/08/1990;183;124
Montpellier;Jannie DU PLESSIS;Avant;16/11/1982;188;121
Montpellier;Levan CHILACHAVA;Avant;17/08/1991;188;118
Montpellier;Lizo GQOBOKA;Avant;24/03/1990;183;118
Montpellier;Luka AZARIASHVILI;Avant;30/11/1999;186;118
Montpellier;Misha NARIASHVILI;Avant;25/05/1990;186;118
Montpellier;Mohamed HAOUAS;Avant;09/03/1994;185;127
Montpellier;Bismarck DU PLESSIS;Avant;22/05/1984;189;114
Montpellier;Guilhem GUIRADO;Avant;17/06/1986;183;105
Montpellier;Ronan CHAMBORD;Avant;11/04/1994;177;104
Montpellier;Valentin SEILLÉ;Avant;07/04/1999;182;108
Montpellier;Vincent GIUDICELLI;Avant;25/06/1997;183;100
Montpellier;Youri DELHOMMEL;Avant;06/03/1996;181;100
Montpellier;Jacques DU PLESSIS;2ème ligne;12/08/1993;201;123
Montpellier;Julien LEDEVEDEC;2ème ligne;04/06/1986;199;114
Montpellier;Konstantine MIKAUTADZE;2ème ligne;01/07/1991;200;128
Montpellier;Nicolaas Janse VAN RENSBURG;2ème ligne;06/05/1994;200;112
Montpellier;Paul WILLEMSE;2ème ligne;13/11/1992;201;129
Montpellier;Caleb TIMU;3ème ligne;22/02/1994;190;117
Montpellier;Fulgence OUEDRAOGO;3ème ligne;21/07/1986;191;99
Montpellier;Julien BARDY;3ème ligne;03/04/1986;188;98
Montpellier;Kélian GALLETIER;3ème ligne;18/03/1992;188;100
Montpellier;Kévin KORNATH;3ème ligne;27/12/1996;194;110
Montpellier;Louis PICAMOLES;3ème ligne;05/02/1986;192;118
Montpellier;Lucas DE CONINCK;3ème ligne;15/01/1996;194;110
Montpellier;Martin DEVERGIE;3ème ligne;26/06/1995;193;116
Montpellier;Yacouba CAMARA;3ème ligne;02/06/1994;195;112
Montpellier;Benoît PAILLAUGUE;Demi;17/11/1987;172;74
Montpellier;Enzo SANGA;Demi;19/05/1995;176;75
Montpellier;Kahn FOTUALI'I;Demi;22/05/1982;183;96
Montpellier;Aaron CRUDEN;Demi;08/01/1989;178;84
Montpellier;Handré POLLARD;Demi;11/03/1994;189;98
Montpellier;Thomas DARMON;Demi;12/05/1998;181;83
Montpellier;Arthur VINCENT;Trois-Quarts;30/09/1999;183;90
Montpellier;François STEYN;Trois-Quarts;14/05/1987;191;111
Montpellier;Jan SERFONTEIN;Trois-Quarts;15/04/1993;187;97
Montpellier;Vincent MARTIN;Trois-Quarts;04/09/1992;185;93
Montpellier;Yvan REILHAC;Trois-Quarts;09/06/1995;182;92
Montpellier;Gabriel N'GANDEBE;Trois-Quarts;30/03/1997;174;75
Montpellier;Nemani NADOLO;Trois-Quarts;31/01/1988;194;130
Montpellier;Pierre TOURNEBIZE;Trois-Quarts;25/09/1998;186;98
Montpellier;Timoci NAGUSA;Trois-Quarts;14/07/1987;183;106
Montpellier;Anthony BOUTHIER;Arrière;19/06/1992;182;86
Montpellier;Benjamin FALL;Arrière;03/03/1989;186;93
Montpellier;Henry IMMELMAN;Arrière;26/05/1995;189;96
Montpellier;Johan GOOSEN;Arrière;27/07/1992;184;89
Paris;Carlü SADIE;Avant;07/03/1997;180;124
Paris;Christopher VAOTOA;Avant;16/11/1996;185;138
Paris;Giorgi MELIKIDZE;Avant;24/05/1996;179;117
Paris;Luke TAGI;Avant;23/06/1997;187;130
Paris;Paul ALO-EMILE;Avant;22/12/1991;180;128
Paris;Quentin BÉTHUNE;Avant;25/09/1995;183;112
Paris;Sami MAVINGA;Avant;25/05/1993;181;116
Paris;Stéphane CLÉMENT;Avant;03/09/1987;183;121
Paris;Thierry FUTEU;Avant;23/06/1995;186;114
Paris;Damien FITZPATRICK;Avant;08/06/1989;183;105
Paris;Laurent PANIS;Avant;23/04/1993;180;102
Paris;Lucas DA SILVA;Avant;19/12/1997;188;115
Paris;Rémi BONFILS;Avant;26/09/1988;178;101
Paris;Sione ANGA'AELANGI;Avant;07/11/1988;180;106
Paris;Tolu LATU;Avant;23/02/1993;180;113
Paris;Hugh PYLE;2ème ligne;21/09/1988;201;116
Paris;Mathieu DE GIOVANNI;2ème ligne;10/01/1994;197;115
Paris;Paul GABRILLAGUES;2ème ligne;03/06/1993;199;119
Paris;Pierre-Henri AZAGOH;2ème ligne;25/07/1998;198;105
Paris;Yoann MAESTRI;2ème ligne;14/01/1988;202;119
Paris;Antoine BURBAN;3ème ligne;22/07/1987;189;101
Paris;Charlie FRANCOZ;3ème ligne;03/06/1998;195;108
Paris;Joketani KOROI;3ème ligne;01/01/1996;198;115
Paris;Josh STRAUSS;3ème ligne;23/10/1986;200;114
Paris;Loïc GODENER;3ème ligne;13/08/1995;188;115
Paris;Pablo MATERA;3ème ligne;18/07/1993;193;110
Paris;Ryan CHAPUIS;3ème ligne;12/12/1997;189;104
Paris;Sekou MACALOU;3ème ligne;20/04/1995;195;100
Paris;Talalelei GRAY;3ème ligne;28/02/1990;194;110
Paris;Willem ALBERTS;3ème ligne;11/05/1984;192;120
Paris;Arthur COVILLE;Demi;04/02/1998;178;83
Paris;Clément DAGUIN;Demi;25/05/1992;180;87
Paris;James HALL;Demi;02/01/1996;172;84
Paris;Joris SEGONDS;Demi;06/04/1997;180;91
Paris;Jules PLISSON;Demi;20/08/1991;184;88
Paris;Morné STEYN;Demi;11/07/1984;183;91
Paris;Nicolas SANCHEZ;Demi;26/10/1988;177;85
Paris;Alex ARRATE;Trois-Quarts;24/06/1997;180;90
Paris;Gaël FICKOU;Trois-Quarts;26/03/1994;190;100
Paris;Jonathan DANTY;Trois-Quarts;07/10/1992;181;107
Paris;Julien DELBOUIS;Trois-Quarts;04/08/1999;185;95
Paris;Lionel MAPOE;Trois-Quarts;13/07/1988;183;95
Paris;Adrien LAPÈGUE;Trois-Quarts;21/10/1998;181;88
Paris;Julien ARIAS;Trois-Quarts;26/10/1983;178;89
Paris;Lester ETIEN;Trois-Quarts;21/06/1995;180;90
Paris;Ruan COMBRINCK;Trois-Quarts;10/05/1990;183;97
Paris;Sefa NAIVALU;Trois-Quarts;07/01/1992;186;101
Paris;Waisea NAYACALEVU;Trois-Quarts;26/06/1990;193;104
Paris;Kylan HAMDAOUI;Arrière;15/04/1994;182;84
Pau;Geoffrey MOÏSE;Avant;20/08/1991;187;130
Pau;Ignacio CALLES;Avant;24/10/1995;187;116
Pau;Lourens ADRIAANSE;Avant;05/02/1988;181;115
Pau;Lucas POINTUD;Avant;18/01/1988;189;127
Pau;Malik HAMADACHE;Avant;17/10/1988;193;141
Pau;Mohamed BOUGHANMI;Avant;27/10/1991;194;126
Pau;Nicolas CORATO;Avant;07/10/1997;184;120
Pau;Siegfried FISI'IHOI;Avant;06/08/1987;184;125
Pau;Lucas REY;Avant;27/04/1997;175;95
Pau;Quentin LESPIAUCQ-BRETTES;Avant;16/02/1995;180;95
Pau;Dan MALAFOSSE;2ème ligne;14/01/1992;195;121
Pau;Daniel RAMSAY;2ème ligne;01/06/1984;197;114
Pau;Denis MARCHOIS;2ème ligne;05/02/1994;198;115
Pau;Fabrice METZ;2ème ligne;23/01/1991;196;121
Pau;Julien DELANNOY;2ème ligne;15/06/1995;198;123
Pau;Antoine ERBANI;3ème ligne;07/02/1990;192;100
Pau;Baptiste PESENTI;3ème ligne;03/07/1997;195;118
Pau;Clément FOURNIER;3ème ligne;06/05/2000;190;105
Pau;Dominiko WAQANIBUROTU;3ème ligne;20/04/1986;193;114
Pau;Giovanni HABEL-KUEFFNER;3ème ligne;09/01/1995;190;110
Pau;Lekima TAGITAGIVALU;3ème ligne;12/12/1995;193;109
Pau;Luke WHITELOCK;3ème ligne;29/01/1991;190;116
Pau;Martin PUECH;3ème ligne;14/12/1988;193;95
Pau;Matthieu UGENA;3ème ligne;25/07/1995;186;106
Pau;Pierrick GUNTHER;3ème ligne;16/10/1989;190;106
Pau;Clovis LE BAIL;Demi;29/11/1995;173;74
Pau;Samuel MARQUÈS;Demi;08/12/1988;177;76
Pau;Thibault DAUBAGNA;Demi;20/05/1994;177;80
Pau;Antoine HASTOY;Demi;04/06/1997;180;86
Pau;Colin SLADE;Demi;10/10/1987;183;90
Pau;Tom TAYLOR;Demi;11/03/1989;183;90
Pau;Alexandre DUMOULIN;Trois-Quarts;24/08/1989;189;101
Pau;Atila SEPTAR;Trois-Quarts;02/06/1996;195;99
Pau;Benson STANLEY;Trois-Quarts;11/09/1984;184;98
Pau;Florian NICOT;Trois-Quarts;30/09/1986;184;95
Pau;Jale VATUBUA;Trois-Quarts;30/08/1991;189;121
Pau;Julien FUMAT;Trois-Quarts;26/03/1987;180;83
Pau;Pierre NUENO;Trois-Quarts;15/05/1996;184;90
Pau;Bastien POURAILLY;Trois-Quarts;31/01/1994;177;80
Pau;Ben SMITH;Trois-Quarts;01/06/1986;186;94
Pau;Vincent PINTO;Trois-Quarts;10/04/1999;187;93
Pau;Watisoni VOTU;Trois-Quarts;25/03/1985;187;100
Pau;Charly MALIÉ;Arrière;05/11/1991;185;87
Pau;Jesse MOGG;Arrière;08/06/1989;187;90
Racing92;Ali OZ;Avant;28/05/1995;193;140
Racing92;Ben TAMEIFUNA;Avant;30/08/1991;182;140
Racing92;Cedate GOMES SA;Avant;07/08/1993;185;113
Racing92;Eddy BEN AROUS;Avant;25/08/1990;183;117
Racing92;Georges-Henri COLOMBE;Avant;09/04/1998;193;133
Racing92;Hassane KOLINGAR;Avant;06/03/1998;186;116
Racing92;Vasil KAKOVIN;Avant;01/12/1989;183;110
Racing92;Camille CHAT;Avant;18/12/1995;178;101
Racing92;Issam HAMEL;Avant;18/06/1997;180;110
Racing92;Kévin LE GUEN;Avant;17/11/1990;183;105
Racing92;Teddy BAUBIGNY;Avant;02/09/1998;187;111
Racing92;Dominic BIRD;2ème ligne;09/04/1991;206;115
Racing92;Donnacha RYAN;2ème ligne;11/12/1983;201;114
Racing92;Leone NAKARAWA;2ème ligne;04/02/1988;200;125
Racing92;Antonie CLAASSEN;3ème ligne;20/10/1984;191;106
Racing92;Baptiste CHOUZENOUX;3ème ligne;07/08/1993;202;107
Racing92;Bernard LE ROUX;3ème ligne;04/06/1989;196;113
Racing92;Boris PALU;3ème ligne;04/02/1996;193;109
Racing92;Fabien SANCONNIE;3ème ligne;21/02/1995;195;110
Racing92;Ibrahim DIALLO;3ème ligne;23/01/1998;193;109
Racing92;Jordan JOSEPH;3ème ligne;31/07/2000;189;115
Racing92;Wenceslas LAURET;3ème ligne;28/03/1989;188;103
Racing92;Yoan TANGA-MANGENE;3ème ligne;29/11/1996;185;108
Racing92;Antoine GIBERT;Demi;31/12/1997;177;76
Racing92;Maxime MACHENAUD;Demi;30/12/1988;174;87
Racing92;Sam HIDALGO-CLYNE;Demi;04/08/1993;175;76
Racing92;Teddy IRIBAREN;Demi;25/09/1990;170;70
Racing92;Ben VOLAVOLA;Demi;13/01/1991;191;93
Racing92;Finn RUSSELL;Demi;23/09/1992;183;87
Racing92;François TRINH-DUC;Demi;11/11/1986;186;90
Racing92;Joaquin DIAZ BONILLA;Demi;12/04/1989;177;80
Racing92;Henry CHAVANCY;Trois-Quarts;22/05/1988;181;92
Racing92;Léonard PARIS;Trois-Quarts;20/03/1996;180;92
Racing92;Olivier KLEMENCZAK;Trois-Quarts;01/06/1996;181;81
Racing92;Virimi VAKATAWA;Trois-Quarts;01/05/1992;185;98
Racing92;Dorian LABORDE;Trois-Quarts;30/12/1996;178;107
Racing92;Juan IMHOFF;Trois-Quarts;11/05/1988;185;90
Racing92;Simon ZEBO;Trois-Quarts;16/03/1990;187;94
Racing92;Teddy THOMAS;Trois-Quarts;18/09/1993;185;90
Racing92;Brice DULIN;Arrière;13/04/1990;176;82
Racing92;Louis DUPICHOT;Arrière;23/09/1995;183;86
Toulon;Beka GIGASHVILI;Avant;17/02/1992;177;114
Toulon;Bruce DEVAUX;Avant;14/11/1996;183;108
Toulon;Florian FRESIA;Avant;17/01/1992;185;110
Toulon;Jean-Baptiste GROS;Avant;29/05/1999;187;110
Toulon;Marcel VAN DER MERWE;Avant;24/10/1990;188;120
Toulon;Sébastien TAOFIFENUA;Avant;21/03/1992;178;130
Toulon;Wilco LOUW;Avant;20/07/1994;185;133
Toulon;Anthony ÉTRILLARD;Avant;21/03/1993;183;110
Toulon;Bastien SOURY;Avant;18/03/1995;180;105
Toulon;Christopher TOLOFUA;Avant;31/12/1993;182;117
Toulon;Brian ALAINU'UESE;2ème ligne;19/03/1994;202;135
Toulon;Corentin VERNET;2ème ligne;27/09/1996;200;127
Toulon;Eben ETZEBETH;2ème ligne;29/10/1991;203;117
Toulon;Mamuka GORGODZE;2ème ligne;14/07/1984;196;120
Toulon;Romain TAOFIFENUA;2ème ligne;14/09/1990;200;127
Toulon;Swan REBBADJ;2ème ligne;15/01/1995;202;116
Toulon;Charles OLLIVON;3ème ligne;11/05/1993;199;114
Toulon;Facundo ISA;3ème ligne;21/09/1993;188;111
Toulon;Liam MESSAM;3ème ligne;25/03/1984;190;109
Toulon;Raphaël LAKAFIA;3ème ligne;28/10/1988;191;115
Toulon;Sergio PARISSE;3ème ligne;12/09/1983;196;122
Toulon;Stéphane ONAMBÉLÉ;3ème ligne;12/02/1993;188;94
Toulon;Thomas HOARAU;3ème ligne;01/06/1995;190;112
Toulon;Anthony MÉRIC;Demi;15/02/1995;177;77
Toulon;Baptiste SERIN;Demi;20/06/1994;180;79
Toulon;Louis SCHREUDER;Demi;25/04/1990;184;82
Toulon;Rhys WEBB;Demi;09/12/1988;183;93
Toulon;Anthony BELLEAU;Demi;08/04/1996;177;85
Toulon;Louis CARBONEL;Demi;04/02/1999;180;85
Toulon;Mathieu SMAÏLI;Demi;30/08/1999;180;84
Toulon;Ben TE'O;Trois-Quarts;27/01/1987;188;105
Toulon;Duncan PAIA'AUA;Trois-Quarts;20/01/1995;180;91
Toulon;Julian SAVEA;Trois-Quarts;07/08/1990;192;108
Toulon;Julien HÉRITEAU;Trois-Quarts;12/09/1994;181;90
Toulon;Théo DACHARY;Trois-Quarts;26/03/1997;184;92
Toulon;Bryce HEEM ;Trois-Quarts;18/01/1989;193;105
Toulon;Daniel IKPEFAN;Trois-Quarts;18/10/1993;185;92
Toulon;Gabin VILLIÈRE;Trois-Quarts;13/12/1995;180;87
Toulon;Masivesi DAKUWAQA;Trois-Quarts;14/02/1994;190;105
Toulon;Gervais CORDIN;Arrière;10/12/1998;172;73
Toulon;Hugo BONNEVAL;Arrière;19/11/1990;185;90
Toulon;Nehe MILNER-SKUDDER;Arrière;15/12/1990;182;90
Toulouse;Charlie FAUMUINA;Avant;24/12/1986;184;128
Toulouse;Clément CASTETS;Avant;05/05/1996;183;110
Toulouse;Cyril BAILLE;Avant;15/09/1993;182;116
Toulouse;Dorian ALDEGHERI;Avant;04/08/1993;180;119
Toulouse;Maks VAN DYK;Avant;21/01/1992;186;118
Toulouse;Paulo TAFILI;Avant;15/02/1996;183;132
Toulouse;Rémy HUGUES;Avant;01/01/1986;183;114
Toulouse;Rodrigue NETI;Avant;26/04/1995;185;124
Toulouse;Guillaume CRAMONT;Avant;29/12/2000;182;97
Toulouse;Guillaume MARCHAND;Avant;05/06/1998;183;100
Toulouse;Jaco VISAGIE;Avant;08/07/1992;188;105
Toulouse;Julien MARCHAND;Avant;10/05/1995;181;95
Toulouse;Takeshi HINO;Avant;20/01/1990;172;100
Toulouse;Bastien CHALUREAU;2ème ligne;13/02/1992;202;121
Toulouse;Florian VERHAEGHE;2ème ligne;27/04/1997;202;108
Toulouse;Iosefa TEKORI;2ème ligne;17/12/1983;198;127
Toulouse;Richie ARNOLD;2ème ligne;01/07/1990;208;127
Toulouse;Richie GRAY;2ème ligne;24/08/1989;206;125
Toulouse;Rory ARNOLD;2ème ligne;01/07/1990;208;120
Toulouse;Alban PLACINES;3ème ligne;23/04/1993;189;110
Toulouse;Antoine MIQUEL;3ème ligne;20/06/1994;192;109
Toulouse;Carl AXTENS;3ème ligne;26/08/1991;193;117
Toulouse;François CROS;3ème ligne;25/03/1994;190;95
Toulouse;Gillian GALAN;3ème ligne;07/08/1991;193;120
Toulouse;Jerome KAINO;3ème ligne;06/04/1983;196;113
Toulouse;Louis-Benoît MADAULE;3ème ligne;24/09/1988;190;104
Toulouse;Rynhardt ELSTADT;3ème ligne;20/12/1989;198;120
Toulouse;Selevasio TOLOFUA;3ème ligne;31/05/1997;186;115
Toulouse;Antoine DUPONT;Demi;15/11/1996;174;82
Toulouse;Pierre PAGÈS;Demi;16/05/1990;180;78
Toulouse;Sébastien BÉZY;Demi;22/11/1991;174;74
Toulouse;Romain NTAMACK;Demi;01/05/1999;186;84
Toulouse;Tristan TEDDER;Demi;17/04/1996;180;80
Toulouse;Zack HOLMES;Demi;30/05/1990;175;90
Toulouse;Maxime MERMOZ;Trois-Quarts;28/07/1986;181;93
Toulouse;Pierre FOUYSSAC;Trois-Quarts;17/03/1995;190;100
Toulouse;Pita AHKI;Trois-Quarts;24/09/1992;189;97
Toulouse;Théo BELAN;Trois-Quarts;15/11/1992;187;94
Toulouse;Arthur BONNEVAL;Trois-Quarts;31/05/1995;181;82
Toulouse;Cheslin KOLBE;Trois-Quarts;28/10/1993;171;80
Toulouse;Lucas TAUZIN;Trois-Quarts;21/05/1998;187;98
Toulouse;Sofiane GUITOUNE;Trois-Quarts;27/03/1989;186;96
Toulouse;Werner KOK;Trois-Quarts;27/01/1993;177;78
Toulouse;Yoann HUGET;Trois-Quarts;02/06/1987;190;97
Toulouse;Matthis LEBEL;Arrière;25/03/1999;185;91
Toulouse;Maxime MÉDARD;Arrière;16/11/1986;180;85
Toulouse;Thomas RAMOS;Arrière;23/07/1995;178;86
